year_of_assessment,tax_group,income_type,amount
2014,Taxable Group,Other Types,695939
2014,Taxable Group,Rent,1384428
2014,Taxable Group,Royalties,310261
2014,Taxable Group,Trade Income,105567594
2015,Non-Taxable Group,Dividends,63384
2015,Non-Taxable Group,Interest,713031
2015,Non-Taxable Group,Other Types,210061
2015,Non-Taxable Group,Rent,358572
2015,Non-Taxable Group,Royalties,74687
2015,Non-Taxable Group,Trade Income,-93203948
2015,Taxable Group,Dividends,2108175
2015,Taxable Group,Interest,2761794
2015,Taxable Group,Other Types,934801
2015,Taxable Group,Rent,1500266
2015,Taxable Group,Royalties,511047
2015,Taxable Group,Trade Income,109982806
2016,Non-Taxable Group,Dividends,38997
2016,Non-Taxable Group,Interest,929594
2016,Non-Taxable Group,Other Types,1551720
2016,Non-Taxable Group,Rent,399183
2016,Non-Taxable Group,Royalties,180324
2016,Non-Taxable Group,Trade Income,-103115054
2016,Taxable Group,Dividends,728716
2016,Taxable Group,Interest,3716757
2016,Taxable Group,Other Types,1064602
2016,Taxable Group,Rent,1542918
2016,Taxable Group,Royalties,278219
2016,Taxable Group,Trade Income,117085551
2017,Non-Taxable Group,Dividends,61607
2017,Non-Taxable Group,Interest,1219022
2017,Non-Taxable Group,Other Types,452371
2017,Non-Taxable Group,Rent,488727
2017,Non-Taxable Group,Royalties,203973
2017,Non-Taxable Group,Trade Income,-116693060
2017,Taxable Group,Dividends,697409
2017,Taxable Group,Interest,3699298
2017,Taxable Group,Other Types,1206932
2017,Taxable Group,Rent,1512493
2017,Taxable Group,Royalties,592370
2017,Taxable Group,Trade Income,126423719
2018,Non-Taxable Group,Dividends,97138
2018,Non-Taxable Group,Interest,1477235
2018,Non-Taxable Group,Other Types,368627
2018,Non-Taxable Group,Rent,553251
2018,Non-Taxable Group,Royalties,81353
2018,Non-Taxable Group,Trade Income,-127755340
2018,Taxable Group,Dividends,590170
2018,Taxable Group,Interest,4579955
2018,Taxable Group,Other Types,1155847
2018,Taxable Group,Rent,1574331
2018,Taxable Group,Royalties,1143118
2018,Taxable Group,Trade Income,147325880
