yr,interest_amt
2006,3926800000
2007,4228000000
2008,4644100000
2009,5215300000
2010,5772300000
2011,6471500000
2012,7199600000
2013,8028800000
2014,8814000000
2015,9634700000
2016,10571300000
2017,11647900000
2018,12734700000
2019,13892900000
2020,15116200000
