year_of_assessment,tax_group,income_type,amount
2013,Non-Taxable Group,Interest,11387
2013,Non-Taxable Group,Other Types,22810
2013,Non-Taxable Group,Rent,394266
2013,Non-Taxable Group,Royalties,466
2013,Taxable Group,Dividends,9529
2013,Taxable Group,Employment Income,115894257
2013,Taxable Group,Income from Trade and Profession,6447553
2013,Taxable Group,Interest,77698
2013,Taxable Group,Other Types,194227
2013,Taxable Group,Rent,3401469
2013,Taxable Group,Royalties,5993
2014,Non-Taxable Group,Dividends,4669
2014,Non-Taxable Group,Employment Income,16641814
2014,Non-Taxable Group,Income from Trade and Profession,1154284
2014,Non-Taxable Group,Interest,10298
2014,Non-Taxable Group,Other Types,21227
2014,Non-Taxable Group,Rent,457520
2014,Non-Taxable Group,Royalties,379
2014,Taxable Group,Dividends,19591
2014,Taxable Group,Employment Income,127405551
2014,Taxable Group,Income from Trade and Profession,6690125
2014,Taxable Group,Interest,81236
2014,Taxable Group,Other Types,149726
2014,Taxable Group,Rent,3841529
2014,Taxable Group,Royalties,5599
2015,Non-Taxable Group,Dividends,4357
2015,Non-Taxable Group,Employment Income,17112872
2015,Non-Taxable Group,Income from Trade and Profession,1223450
2015,Non-Taxable Group,Interest,7725
2015,Non-Taxable Group,Other Types,25612
2015,Non-Taxable Group,Rent,528272
2015,Non-Taxable Group,Royalties,320
2015,Taxable Group,Dividends,17480
2015,Taxable Group,Employment Income,138343592
2015,Taxable Group,Income from Trade and Profession,6946320
2015,Taxable Group,Interest,63755
2015,Taxable Group,Other Types,139262
2015,Taxable Group,Rent,4162334
2015,Taxable Group,Royalties,5033
2016,Non-Taxable Group,Dividends,5251
2016,Non-Taxable Group,Employment Income,17644148
2016,Non-Taxable Group,Income from Trade and Profession,1076226
2016,Non-Taxable Group,Interest,7937
2016,Non-Taxable Group,Other Types,25875
2016,Non-Taxable Group,Rent,591635
2016,Non-Taxable Group,Royalties,287
2016,Taxable Group,Dividends,21853
2016,Taxable Group,Employment Income,147755022
2016,Taxable Group,Income from Trade and Profession,6828283
2016,Taxable Group,Interest,64861
2016,Taxable Group,Other Types,148407
2016,Taxable Group,Rent,4134700
2016,Taxable Group,Royalties,5190
2017,Non-Taxable Group,Dividends,4790
2017,Non-Taxable Group,Employment Income,18359702
2017,Non-Taxable Group,Income from Trade and Profession,995883
2017,Non-Taxable Group,Interest,3884
2017,Non-Taxable Group,Other Types,33324
2017,Non-Taxable Group,Rent,645622
2017,Non-Taxable Group,Royalties,359
2017,Taxable Group,Dividends,16732
2017,Taxable Group,Employment Income,152656563
2017,Taxable Group,Income from Trade and Profession,6785834
2017,Taxable Group,Interest,47950
2017,Taxable Group,Other Types,170583
2017,Taxable Group,Rent,4112739
2017,Taxable Group,Royalties,6840
2018,Non-Taxable Group,Dividends,4574
2018,Non-Taxable Group,Employment Income,18380397
2018,Non-Taxable Group,Income from Trade and Profession,953410
2018,Non-Taxable Group,Interest,7287
2018,Non-Taxable Group,Other Types,31334
2018,Non-Taxable Group,Rent,672364
2018,Non-Taxable Group,Royalties,377
2018,Taxable Group,Dividends,16161
2018,Taxable Group,Employment Income,159406100
2018,Taxable Group,Income from Trade and Profession,7198918
2018,Taxable Group,Interest,51291
2018,Taxable Group,Other Types,165004
2018,Taxable Group,Rent,4102632
2018,Taxable Group,Royalties,5878
2019,Non-Taxable Group,Dividends,4898
2019,Non-Taxable Group,Employment Income,18576181
2019,Non-Taxable Group,Income from Trade and Profession,957190
2019,Non-Taxable Group,Interest,6784
2019,Non-Taxable Group,Other Types,34635
2019,Non-Taxable Group,Rent,683261
2019,Non-Taxable Group,Royalties,459
2019,Taxable Group,Dividends,15280
2019,Taxable Group,Employment Income,168238459
2019,Taxable Group,Income from Trade and Profession,7427310
2019,Taxable Group,Interest,53849
2019,Taxable Group,Other Types,158287
2019,Taxable Group,Rent,4080891
2019,Taxable Group,Royalties,7424
