year_of_assessment,resident_type,chargeable_income_group,no_of_companies,chargeable_income,net_tax_assessed
2009,Non-Tax Resident,"60,001 - 100,000",161,13,2
2009,Non-Tax Resident,"100,001 - 300,000",216,38,7
2009,Non-Tax Resident,"300,001 - 500,000",70,27,5
2009,Non-Tax Resident,"500,001 - 1,000,000",101,69,12
2009,Non-Tax Resident,"1,000,001 - 3,000,000",123,215,38
2009,Non-Tax Resident,"3,000,001 - 5,000,000",40,158,27
2009,Non-Tax Resident,"5,000,001 & above",139,7220,959
2009,Tax Resident,"10,000 & below",12307,41,8
2009,Tax Resident,"10,001 - 20,000",4905,72,13
2009,Tax Resident,"20,001 - 30,000",3419,85,15
2009,Tax Resident,"30,001 - 60,000",6513,283,51
2009,Tax Resident,"60,001 - 100,000",4910,387,69
2009,Tax Resident,"100,001 - 300,000",6696,1110,197
2009,Tax Resident,"300,001 - 500,000",2082,818,145
2009,Tax Resident,"500,001 - 1,000,000",2679,1839,324
2009,Tax Resident,"1,000,001 - 3,000,000",2649,4606,813
2009,Tax Resident,"3,000,001 - 5,000,000",795,3063,530
2009,Tax Resident,"5,000,001 & above",1654,51291,7614
2010,Non-Tax Resident,"10,000 & below",340,1,0
2010,Non-Tax Resident,"10,001 - 20,000",193,3,1
2010,Non-Tax Resident,"20,001 - 30,000",139,3,1
2010,Non-Tax Resident,"30,001 - 60,000",251,11,2
2010,Non-Tax Resident,"60,001 - 100,000",149,12,2
2010,Non-Tax Resident,"100,001 - 300,000",240,39,6
2010,Non-Tax Resident,"300,001 - 500,000",68,28,5
2010,Non-Tax Resident,"500,001 - 1,000,000",102,71,12
2010,Non-Tax Resident,"1,000,001 - 3,000,000",97,183,30
2010,Non-Tax Resident,"3,000,001 - 5,000,000",47,180,29
2010,Non-Tax Resident,"5,000,001 & above",148,10693,1311
2010,Tax Resident,"10,000 & below",13306,43,8
2010,Tax Resident,"10,001 - 20,000",5016,73,12
2010,Tax Resident,"20,001 - 30,000",3527,88,15
